,departement,lieu_id,Fermeture_Estivale,categorie,name_x,close.actif,close.dateDebut,close.dateFin,name_y,Counts
31802,Paris,325,Fermé,402.0,CONSEIL,False,,,Permanence juridique,1
31810,Paris,334,Ouvert,801.0,Activités,False,,,Sport,1
31811,Paris,335,Ouvert,102.0,Dépistage,False,,,Dépistage,1
31812,Paris,336,Fermé,402.0,Conseil,False,,,Permanence juridique,1
31847,Paris,379,Fermé,107.0,SANTE,False,,,Suivi grossesse,1
31852,Paris,386,Ouvert,107.0,SANTE,False,,,Suivi grossesse,1
31902,Paris,438,Ouvert,102.0,Dépistage,False,,,Dépistage,1
31913,Paris,879,Fermé,804.0,Loisirs jeunesse pour les jeunes de 6 à 18 ans,False,,,Activités,1
31914,Paris,880,Ouvert,804.0,cours d'anglais,False,,,Activités,1
31918,Paris,888,Ouvert,101.0,SANTE,False,,,Addiction,1
31922,Paris,892,Fermé,203.0,FORMATION_EMPLOI,False,,,Accompagnement à l'emploi,1
31923,Paris,893,Fermé,202.0,asl,False,,,Formation français,1
31924,Paris,894,Ouvert,501.0,TECHNOLOGIE,False,,,Ordinateur,1
31926,Paris,897,Ouvert,402.0,Conseil,False,,,Permanence juridique,1
31927,Paris,898,Ouvert,201.0,Formation et emploi,True,2021-08-02 00:00:00+00:00,2021-08-22 00:00:00+00:00,Atelier numérique,1
